Input	Output
tyuv opposite right and uajp left	I_TURN_RIGHT I_TURN_RIGHT I_TYUV I_TURN_LEFT I_UAJP
vzoe left twice and vzoe right thrice	I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE
yjft opposite right thrice after abiu around right twice	I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_TURN_RIGHT I_YJFT I_TURN_RIGHT I_TURN_RIGHT I_YJFT I_TURN_RIGHT I_TURN_RIGHT I_YJFT
imql left thrice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_IMQL I_TURN_LEFT I_IMQL I_TURN_LEFT I_IMQL
izcb left and turn around right	I_TURN_LEFT I_IZCB I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
yqvi thrice after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_YQVI I_YQVI I_YQVI
turn opposite right twice after jcda opposite left	I_TURN_LEFT I_TURN_LEFT I_JCDA I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn left twice after vzoe thrice	I_VZOE I_VZOE I_VZOE I_TURN_LEFT I_TURN_LEFT
qlcv twice and qlcv left twice	I_QLCV I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV
nrob around right and mxay opposite left twice	I_TURN_RIGHT I_NROB I_TURN_RIGHT I_NROB I_TURN_RIGHT I_NROB I_TURN_RIGHT I_NROB I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT I_MXAY
turn opposite right twice and qnsr left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_QNSR
turn opposite left thrice and tftq left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ
turn opposite left thrice and turn right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn right thrice after icho opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_ICHO I_TURN_LEFT I_TURN_LEFT I_ICHO I_TURN_LEFT I_TURN_LEFT I_ICHO I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
zwjm around left after pvrq thrice	I_PVRQ I_PVRQ I_PVRQ I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM
cufv opposite left after vbcx twice	I_VBCX I_VBCX I_TURN_LEFT I_TURN_LEFT I_CUFV
reqk left thrice and reqk around right	I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK
yjft opposite left thrice and abiu around left	I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU
turn around right thrice and xrym around left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM
oymp around right twice after oymp around right thrice	I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP
turn left and vbcx around right	I_TURN_LEFT I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX
turn around right thrice and ufnu left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_UFNU
turn around left and qrwp right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP
yvbl right and idej around left twice	I_TURN_RIGHT I_YVBL I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ
jjep opposite left after turn left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_JJEP
fcbf around left thrice and fcbf around right thrice	I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF
turn opposite left after macp opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_MACP I_TURN_RIGHT I_TURN_RIGHT I_MACP I_TURN_LEFT I_TURN_LEFT
lwmo around left thrice after lwmo around right thrice	I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO
turn around left after jjep opposite left	I_TURN_LEFT I_TURN_LEFT I_JJEP I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn left and vosv left twice	I_TURN_LEFT I_TURN_LEFT I_VOSV I_TURN_LEFT I_VOSV
fdjx around left twice and fdjx right	I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_LEFT I_FDJX I_TURN_RIGHT I_FDJX
dlmc around left twice after hutm left thrice	I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_HUTM I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC
eegp around left thrice after eegp left thrice	I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP
turn opposite left twice after yqvi right thrice	I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
vosv twice after vosv around right	I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_VOSV I_VOSV I_VOSV
nrob around left after mxay around left twice	I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB I_TURN_LEFT I_NROB
turn opposite right after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
vgha twice after equr opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_TURN_RIGHT I_EQUR I_VGHA I_VGHA
xrym opposite left twice and kvur opposite left twice	I_TURN_LEFT I_TURN_LEFT I_XRYM I_TURN_LEFT I_TURN_LEFT I_XRYM I_TURN_LEFT I_TURN_LEFT I_KVUR I_TURN_LEFT I_TURN_LEFT I_KVUR
zsvr left and zsvr opposite left thrice	I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR
boch right twice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH
qqiu around left thrice and qqiu opposite left	I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_TURN_LEFT I_QQIU
gmha opposite right thrice and dxpw opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_DXPW I_TURN_RIGHT I_TURN_RIGHT I_DXPW
yjft opposite left twice after turn right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_YJFT I_TURN_LEFT I_TURN_LEFT I_YJFT
ulus around left and ulus right thrice	I_TURN_LEFT I_ULUS I_TURN_LEFT I_ULUS I_TURN_LEFT I_ULUS I_TURN_LEFT I_ULUS I_TURN_RIGHT I_ULUS I_TURN_RIGHT I_ULUS I_TURN_RIGHT I_ULUS
ohlm opposite right and turn left twice	I_TURN_RIGHT I_TURN_RIGHT I_OHLM I_TURN_LEFT I_TURN_LEFT
turn opposite left and macp right	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_MACP
xlie right twice after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_XLIE
jmbc opposite left after jpxb around right twice	I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_LEFT I_TURN_LEFT I_JMBC
turn around left thrice and turn right twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT
hfro opposite left and turn around left twice	I_TURN_LEFT I_TURN_LEFT I_HFRO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
rqli opposite right twice after qlcv	I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_TURN_RIGHT I_RQLI
fcbf around right after fcbf around left thrice	I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_LEFT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF
lwmo around right thrice and lwmo left twice	I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO
turn left thrice and turn around right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
zbxv and zbxv around left	I_ZBXV I_TURN_LEFT I_ZBXV I_TURN_LEFT I_ZBXV I_TURN_LEFT I_ZBXV I_TURN_LEFT I_ZBXV
turn opposite left twice and turn opposite right	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT
txpe around left twice and turn opposite right	I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_RIGHT I_TURN_RIGHT
cgrz	I_CGRZ
aowu around right twice and rqli around left	I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI
xrym left twice after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM
turn left after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
ulus	I_ULUS
turn around left and abiu thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ABIU I_ABIU I_ABIU
kvur around left twice and turn right twice	I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_RIGHT I_TURN_RIGHT
zhkg opposite left after nawm	I_NAWM I_TURN_LEFT I_TURN_LEFT I_ZHKG
jpxb around left thrice and jpxb thrice	I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_JPXB I_JPXB I_JPXB
xrym around left twice after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM
nvnj right twice and turn around left twice	I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_NVNJ I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
qrwp opposite left thrice and turn around right thrice	I_TURN_LEFT I_TURN_LEFT I_QRWP I_TURN_LEFT I_TURN_LEFT I_QRWP I_TURN_LEFT I_TURN_LEFT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite left twice after mlle right	I_TURN_RIGHT I_MLLE I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
zhkg around left and turn opposite left thrice	I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
byrr right twice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_BYRR I_TURN_RIGHT I_BYRR
turn left and hutm opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_HUTM
ylhw opposite right thrice and ylhw twice	I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_YLHW I_YLHW
hfro opposite right thrice after hfro twice	I_HFRO I_HFRO I_TURN_RIGHT I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_TURN_RIGHT I_HFRO I_TURN_RIGHT I_TURN_RIGHT I_HFRO
turn around right twice and rjxc around left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC I_TURN_LEFT I_RJXC
turn left thrice after rqli opposite left	I_TURN_LEFT I_TURN_LEFT I_RQLI I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
iugo opposite right twice and turn opposite left	I_TURN_RIGHT I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_TURN_RIGHT I_IUGO I_TURN_LEFT I_TURN_LEFT
turn right twice and zsvr left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR I_TURN_LEFT I_ZSVR
turn around right twice and coaf left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_COAF
turn around right after abiu right	I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
fkes left thrice after fkes right twice	I_TURN_RIGHT I_FKES I_TURN_RIGHT I_FKES I_TURN_LEFT I_FKES I_TURN_LEFT I_FKES I_TURN_LEFT I_FKES
mlbs around right after mlbs opposite right	I_TURN_RIGHT I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS
macp thrice and macp left thrice	I_MACP I_MACP I_MACP I_TURN_LEFT I_MACP I_TURN_LEFT I_MACP I_TURN_LEFT I_MACP
xlgm left thrice and xlgm right twice	I_TURN_LEFT I_XLGM I_TURN_LEFT I_XLGM I_TURN_LEFT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM
tftq opposite right and qlcv	I_TURN_RIGHT I_TURN_RIGHT I_TFTQ I_QLCV
tpdt left twice after ulus twice	I_ULUS I_ULUS I_TURN_LEFT I_TPDT I_TURN_LEFT I_TPDT
izcb around left after yqvi right twice	I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB
mxay around left after mxay right twice	I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY
zwjm after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ZWJM
equr left and equr around left thrice	I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR I_TURN_LEFT I_EQUR
turn right after nvnj around left thrice	I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_RIGHT
ohlm around right twice and ohlm left thrice	I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM
reqk right after reqk opposite right	I_TURN_RIGHT I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK
abiu opposite left twice after asap opposite left	I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_LEFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_TURN_LEFT I_ABIU
asap around right after asap twice	I_ASAP I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP
look opposite right twice and turn right	I_TURN_RIGHT I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_TURN_RIGHT I_LOOK I_TURN_RIGHT
asmf opposite right thrice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ASMF I_TURN_RIGHT I_TURN_RIGHT I_ASMF I_TURN_RIGHT I_TURN_RIGHT I_ASMF
turn around right thrice and garz left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ
nrob thrice after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_NROB I_NROB I_NROB
tyuv opposite right twice after turn right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TURN_RIGHT I_TYUV
txpe thrice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TXPE I_TXPE I_TXPE
qlcv left thrice and qlcv left twice	I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV
turn opposite left twice after diag right thrice	I_TURN_RIGHT I_DIAG I_TURN_RIGHT I_DIAG I_TURN_RIGHT I_DIAG I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
jduf right thrice after dpjs left	I_TURN_LEFT I_DPJS I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF
ylhw around left twice and ylhw opposite right thrice	I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_LEFT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW
turn opposite left after lwmo opposite left twice	I_TURN_LEFT I_TURN_LEFT I_LWMO I_TURN_LEFT I_TURN_LEFT I_LWMO I_TURN_LEFT I_TURN_LEFT
